Region,Type,SubscriptionName,SubscriptionConditn,SubscriptionPrice
UK,1,Sky Talk Line Rental,Sky Subscribers,17.4
UK,1,Sky Talk International Extra,Sky Subscribers,12
UK,1,Sky Talk Evening and Weekends Extra,Sky Subscribers,4
UK,1,Sky Talk Anytime Extra,Sky Subscribers,8
UK,1,Legacy Sky Talk Super Unlimited,Legacy Sky Talk Package,15
UK,1,Legacy Sky Talk Anytime UK,Legacy Sky Talk Package,5
UK,1,Legacy Sky Talk Anytime International,Legacy Sky Talk Package,10
UK,1,Legacy Sky Talk Anytime,Legacy Sky Talk Package,5
UK,1,Legacy Sky Talk 24-7 International,Legacy Sky Talk Package,5
UK,1,Legacy Sky Talk 24-7,Legacy Sky Talk Package,5
